1772-123-148_F09_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_F10_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_F10_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_F11_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_F11_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_F12_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_F12_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G01_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G01_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G02_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G02_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G03_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G03_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G04_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G04_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G05_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G05_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G06_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G06_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G07_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G07_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G08_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G08_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G09_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G09_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G10_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G10_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G11_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G11_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G12_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_G12_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H01_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H01_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H02_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H02_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H03_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H03_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H04_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H04_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H05_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H05_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H06_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H06_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H07_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H07_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H08_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H08_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H09_hg19 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
1772-123-148_H09_mm9 161026_M00528_0239_000000000-ANY8K ATAC knitrUpload upload1	add	Run	1772-123-148
